ID,Rating,Votes,Date,Title,Author,Publisher
25882106,0.0,000001,1987-1-1,The Dynamics of Hutterite Society,Karl A. Peter,The University of Alberta Press
02988944,8.6,002535,2008-2,金翼,林耀华,生活·读书·新知三联书店
05408894,7.5,000348,2011-1-20,你需要多少朋友,[美] 罗宾·邓巴,中信出版社
02379345,8.8,000421,1998,中国农村的市场和社会结构,（美）施坚雅,中国社会科学出版社
06892579,8.4,008646,2011-11,美国种族简史,[美] 托马斯·索威尔,中信出版社
01278703,8.5,000413,2000-12-01,中华帝国晚期的城市,施坚雅,中华书局
07060184,8.4,001804,2012-2,落脚城市,(加拿大)道格·桑德斯,上海译文出版社
01013369,7.6,006550,1998-12,格调,保罗.福塞尔(美),中国社会科学出版社
01958122,8.3,000171,2007,创造性破坏,[美] 泰勒•考恩（Tylor Cowen）,上海人民出版社
04111115,8.1,000045,2009-9,灵长类的社会进化,张鹏 / 渡边邦夫,中山大学出版社
04862384,8.5,000144,2010-6,文化与组织,(荷) 霍夫斯泰德  Geert H Hofstede,中国人民大学出版社
01034759,8.6,000840,2000-3,礼物的流动,阎云翔,上海人民出版社
01704159,8.6,001916,1994-9-1,街角社会,[美] 威廉·富特·怀特,商务印书馆
